country,continent,year,economy,health,social_support,freedom,corruption_perception,generosity,happiness_rank,happiness_score
Cambodia,Asia,2015,0.46038,0.61114,0.62736,0.66246,0.07247,0.40359,145,3.819
Tanzania,Africa,2015,0.2852,0.38215,1.00268,0.32878,0.05747,0.34377,146,3.781
Madagascar,Africa,2015,0.20824,0.46721,0.66801,0.19184,0.08124,0.21333,147,3.681
Central African Republic,Africa,2015,0.0785,0.06699,0.0,0.48879,0.08289,0.23835,148,3.678
Chad,Africa,2015,0.34193,0.1501,0.76062,0.23501,0.05269,0.18386,149,3.667
Guinea,Africa,2015,0.17417,0.24009,0.46475,0.37725,0.12139,0.28657,150,3.656
Ivory Coast,Africa,2015,0.46534,0.15185,0.77115,0.46866,0.17922,0.20165,151,3.655
Burkina Faso,Africa,2015,0.25812,0.27125,0.85188,0.39493,0.12832,0.21747,152,3.587
Afghanistan,Asia,2015,0.31982,0.30335,0.30285,0.23414,0.09719,0.3651,153,3.575
Rwanda,Africa,2015,0.22208,0.42864,0.7737,0.59201,0.55191,0.22628,154,3.465
Benin,Africa,2015,0.28665,0.3191,0.35386,0.4845,0.0801,0.1826,155,3.34
Syria,Asia,2015,0.6632,0.72193,0.47489,0.15684,0.18906,0.47179,156,3.006
Burundi,Africa,2015,0.0153,0.22396,0.41587,0.1185,0.10062,0.19727,157,2.905
Togo,Africa,2015,0.20868,0.28443,0.13995,0.36453,0.10731,0.16681,158,2.839
Denmark,Europe,2016,1.44178,0.79504,1.16374,0.57941,0.44453,0.36171,1,7.526
Switzerland,Europe,2016,1.52733,0.86303,1.14524,0.58557,0.41203,0.28083,2,7.509
Iceland,Europe,2016,1.42666,0.86733,1.18326,0.56624,0.14975,0.47678,3,7.501
Norway,Europe,2016,1.57744,0.79579,1.1269,0.59609,0.35776,0.37895,4,7.498
Finland,Europe,2016,1.40598,0.81091,1.13464,0.57104,0.41004,0.25492,5,7.413
Canada,North America,2016,1.44015,0.8276,1.0961,0.5737,0.31329,0.44834,6,7.404
Netherlands,Europe,2016,1.46468,0.81231,1.02912,0.55211,0.29927,0.47416,7,7.339
New Zealand,Oceania,2016,1.36066,0.83096,1.17278,0.58147,0.41904,0.49401,8,7.334
Australia,Oceania,2016,1.44443,0.8512,1.10476,0.56837,0.32331,0.47407,9,7.313
Sweden,Europe,2016,1.45181,0.83121,1.08764,0.58218,0.40867,0.38254,10,7.291
Israel,Asia,2016,1.33766,0.84917,0.99537,0.36432,0.08728,0.32288,11,7.267
Austria,Europe,2016,1.45038,0.80565,1.08383,0.54355,0.21348,0.32865,12,7.119
United States,North America,2016,1.50796,0.779,1.04782,0.48163,0.14868,0.41077,13,7.104
Costa Rica,Central America,2016,1.06879,0.76146,1.02152,0.55225,0.10547,0.22553,14,7.087
Puerto Rico,Central America,2016,1.35943,0.77758,1.08113,0.46823,0.12275,0.22202,15,7.039
Germany,Europe,2016,1.44787,0.81487,1.09774,0.53466,0.28551,0.30452,16,6.994
Brazil,South America,2016,1.08754,0.61415,1.03938,0.40425,0.14166,0.15776,17,6.952
Belgium,Europe,2016,1.42539,0.81959,1.05249,0.51354,0.26248,0.2424,18,6.929
Ireland,Europe,2016,1.48341,0.81455,1.16157,0.54008,0.29754,0.44963,19,6.907
Luxembourg,Europe,2016,1.69752,0.84542,1.03999,0.5487,0.35329,0.27571,20,6.871
Mexico,North America,2016,1.11508,0.71143,0.7146,0.37709,0.18355,0.11735,21,6.778
Singapore,Asia,2016,1.64555,0.94719,0.86758,0.4877,0.46987,0.32706,22,6.739
United Kingdom,Europe,2016,1.40283,0.80991,1.08672,0.50036,0.27399,0.50156,23,6.725
Chile,South America,2016,1.2167,0.81883,0.90587,0.37789,0.11451,0.31595,24,6.705
Panama,Central America,2016,1.18306,0.70835,0.98912,0.48927,0.08423,0.2418,25,6.701
Argentina,South America,2016,1.15137,0.69711,1.06612,0.42284,0.07296,0.10989,26,6.65
Czech Republic,Europe,2016,1.30915,0.76376,1.00793,0.41418,0.03986,0.09929,27,6.596
United Arab Emirates,Asia,2016,1.57352,0.72993,0.87114,0.56215,0.35561,0.26591,28,6.573
Uruguay,South America,2016,1.18157,0.72183,1.03143,0.54388,0.21394,0.18056,29,6.545
Malta,Europe,2016,1.30782,0.80315,1.09879,0.54994,0.17554,0.56237,30,6.488
Colombia,South America,2016,1.03032,0.59659,1.02169,0.44735,0.05399,0.15626,31,6.481
France,Europe,2016,1.39488,0.83795,1.00508,0.46562,0.17808,0.1216,32,6.478
Thailand,Asia,2016,1.0893,0.64915,1.04477,0.49553,0.02833,0.58696,33,6.474
Saudi Arabia,Asia,2016,1.48953,0.59267,0.84829,0.37904,0.30008,0.15457,34,6.379
Taiwan,Asia,2016,1.39729,0.79565,0.92624,0.32377,0.0663,0.25495,34,6.379
Qatar,Asia,2016,1.82427,0.71723,0.87964,0.56679,0.48049,0.32388,36,6.375
Spain,Europe,2016,1.34253,0.87896,1.12945,0.37545,0.06137,0.17665,37,6.361
Algeria,Africa,2016,1.05266,0.61804,0.83309,0.21006,0.16157,0.07044,38,6.355
Guatemala,Central America,2016,0.83454,0.54039,0.87119,0.50379,0.08701,0.28808,39,6.324
Suriname,South America,2016,1.09686,0.50933,0.77866,0.52234,0.12692,0.16665,40,6.269
Kuwait,Asia,2016,1.61714,0.63569,0.87758,0.43166,0.23669,0.15965,41,6.239
Bahrain,Asia,2016,1.44024,0.65696,0.94397,0.47375,0.25772,0.17147,42,6.218
Trinidad and Tobago,South America,2016,1.32572,0.52608,0.98569,0.48453,0.01241,0.31935,43,6.168
Venezuela,South America,2016,1.13367,0.61904,1.03302,0.19847,0.08304,0.0425,44,6.084
Slovakia,Europe,2016,1.27973,0.70367,1.08268,0.23391,0.02947,0.13837,45,6.078
El Salvador,Central America,2016,0.8737,0.596,0.80975,0.37269,0.10613,0.08877,46,6.068
Malaysia,Asia,2016,1.25142,0.62366,0.88025,0.39031,0.09081,0.41474,47,6.005
Nicaragua,Central America,2016,0.69384,0.65213,0.89521,0.46582,0.16292,0.29773,48,5.992
Uzbekistan,Asia,2016,0.73591,0.50163,1.1681,0.60848,0.28333,0.34326,49,5.987
Italy,Europe,2016,1.35495,0.85102,1.04167,0.18827,0.02556,0.16684,50,5.977
Ecuador,South America,2016,0.97306,0.68613,0.85974,0.4027,0.18037,0.10074,51,5.976
Belize,Central America,2016,0.87616,0.45569,0.68655,0.51231,0.10771,0.23684,52,5.956
Japan,Asia,2016,1.38007,0.91491,1.06054,0.46761,0.18985,0.10224,53,5.921
Kazakhstan,Asia,2016,1.22943,0.57386,0.95544,0.4052,0.11132,0.15011,54,5.919
Moldova,Europe,2016,0.69177,0.52309,0.83132,0.25202,0.01903,0.19997,55,5.897
Russia,Europe,2016,1.23228,0.58991,1.05261,0.32682,0.03586,0.02736,56,5.856
Poland,Europe,2016,1.24585,0.69058,1.04685,0.4519,0.055,0.14443,57,5.835
South Korea,Asia,2016,1.35948,0.88645,0.72194,0.25168,0.07716,0.18824,57,5.835
Bolivia,South America,2016,0.79422,0.4697,0.83779,0.50961,0.07746,0.21698,59,5.822
Lithuania,Europe,2016,1.2692,0.64674,1.06411,0.18929,0.0182,0.02025,60,5.813
Belarus,Europe,2016,1.13062,0.63104,1.04993,0.29091,0.17457,0.13942,61,5.802
North Cyprus,Asia,2016,1.31141,0.84142,0.81826,0.43596,0.16578,0.26322,62,5.771
Slovenia,Europe,2016,1.29947,0.79151,1.05613,0.53164,0.03635,0.25738,63,5.768
Peru,South America,2016,0.99602,0.62994,0.81255,0.37502,0.05292,0.14527,64,5.743
Turkmenistan,Asia,2016,1.08017,0.44006,1.03817,0.37408,0.28467,0.22567,65,5.658
Mauritius,Africa,2016,1.14372,0.66189,0.75695,0.46145,0.05203,0.36951,66,5.648
Libya,Africa,2016,1.06688,0.52304,0.95076,0.40672,0.10339,0.17087,67,5.615
Latvia,Europe,2016,1.21788,0.63952,0.95025,0.27996,0.0889,0.17445,68,5.56
Cyprus,Asia,2016,1.31857,0.8488,0.70697,0.29507,0.05228,0.27906,69,5.546
Paraguay,South America,2016,0.89373,0.58295,1.11111,0.46235,0.07396,0.25296,70,5.538
Romania,Europe,2016,1.1697,0.67602,0.72803,0.36712,0.00679,0.12889,71,5.528
Estonia,Europe,2016,1.27964,0.68098,1.05163,0.41511,0.18519,0.08423,72,5.517
Jamaica,Central America,2016,0.89333,0.59469,0.96372,0.43597,0.04294,0.22245,73,5.51
Croatia,Europe,2016,1.18649,0.70524,0.60809,0.23907,0.04002,0.18434,74,5.488
Hong Kong,Asia,2016,1.5107,0.95277,0.87021,0.48079,0.31647,0.40097,75,5.458
Somalia,Africa,2016,0.0,0.11466,0.33613,0.56778,0.3118,0.27225,76,5.44
Kosovo,Europe,2016,0.90145,0.54,0.66062,0.14396,0.06547,0.27992,77,5.401
Turkey,Asia,2016,1.16492,0.64718,0.87717,0.23889,0.12348,0.04707,78,5.389
Indonesia,Asia,2016,0.95104,0.49374,0.87625,0.39237,0.00322,0.56521,79,5.314
Jordan,Asia,2016,0.99673,0.60712,0.86216,0.36023,0.13297,0.14262,80,5.303
Azerbaijan,Asia,2016,1.12373,0.54504,0.76042,0.35327,0.17914,0.0564,81,5.291
Philippines,Asia,2016,0.81217,0.47036,0.87877,0.54854,0.11757,0.21674,82,5.279
China,Asia,2016,1.0278,0.73561,0.79381,0.44012,0.02745,0.04959,83,5.245
Bhutan,Asia,2016,0.8527,0.49759,0.90836,0.46074,0.1616,0.48546,84,5.196
Kyrgyzstan,Asia,2016,0.56044,0.55449,0.95434,0.40212,0.04762,0.38432,85,5.185
Serbia,Europe,2016,1.03437,0.6458,0.81329,0.15718,0.04339,0.20737,86,5.177
Bosnia and Herzegovina,Europe,2016,0.93383,0.70766,0.64367,0.09511,0.0,0.29889,87,5.163
Montenegro,Europe,2016,1.07838,0.63533,0.74173,0.15111,0.12721,0.17191,88,5.161
Dominican Republic,Central America,2016,1.02787,0.57669,0.99496,0.52259,0.12372,0.21286,89,5.155
Morocco,Africa,2016,0.84058,0.59471,0.38595,0.25646,0.08404,0.04053,90,5.151
Hungary,Europe,2016,1.24142,0.67608,0.93164,0.1977,0.04472,0.099,91,5.145
Pakistan,Asia,2016,0.68816,0.40306,0.26135,0.14622,0.1388,0.31185,92,5.132
Lebanon,Asia,2016,1.12268,0.76171,0.64184,0.26228,0.03061,0.23693,93,5.129
Portugal,Europe,2016,1.27607,0.79363,0.94367,0.44727,0.01521,0.11691,94,5.123
Macedonia,Europe,2016,1.0193,0.64738,0.78236,0.27668,0.07047,0.23507,95,5.121
Vietnam,Asia,2016,0.74037,0.66157,0.79117,0.55954,0.11556,0.25075,96,5.061
Somaliland Region,Africa,2016,0.25558,0.33108,0.75862,0.3913,0.36794,0.51479,97,5.057
Tunisia,Africa,2016,0.97724,0.59577,0.43165,0.23553,0.0817,0.03936,98,5.045
Greece,Europe,2016,1.24886,0.80029,0.75473,0.05822,0.04127,0.0,99,5.033
Tajikistan,Asia,2016,0.48835,0.53119,0.75602,0.43408,0.13509,0.25998,100,4.996
Mongolia,Asia,2016,0.98853,0.55469,1.08983,0.35972,0.03285,0.34539,101,4.907
Laos,Asia,2016,0.68042,0.38291,0.5497,0.52168,0.22423,0.43079,102,4.876
Nigeria,Africa,2016,0.75216,0.05108,0.64498,0.27854,0.0305,0.23219,103,4.875
Honduras,Central America,2016,0.69429,0.58383,0.75596,0.26755,0.06906,0.2044,104,4.871
Iran,Asia,2016,1.11758,0.64232,0.38857,0.22544,0.0557,0.38538,105,4.813
Zambia,Africa,2016,0.61202,0.23573,0.6376,0.42662,0.11479,0.17866,106,4.795
Nepal,Asia,2016,0.44626,0.50073,0.69699,0.37012,0.07008,0.3816,107,4.793
Palestinian Territories,Asia,2016,0.67024,0.56844,0.71629,0.17744,0.10613,0.11154,108,4.754
Albania,Europe,2016,0.9553,0.73007,0.50163,0.31866,0.05301,0.1684,109,4.655
Bangladesh,Asia,2016,0.54177,0.52989,0.24749,0.39778,0.12583,0.19132,110,4.643
Sierra Leone,Africa,2016,0.36485,0.0,0.628,0.30685,0.08196,0.23897,111,4.635
Iraq,Asia,2016,1.07474,0.51076,0.59205,0.24856,0.13636,0.19589,112,4.575
Namibia,Africa,2016,0.93287,0.34745,0.70362,0.48614,0.10398,0.07795,113,4.574
Cameroon,Africa,2016,0.52497,0.12698,0.62542,0.42736,0.06126,0.2268,114,4.513
Ethiopia,Africa,2016,0.29283,0.34578,0.37932,0.36703,0.1717,0.29522,115,4.508
South Africa,Africa,2016,1.02416,0.18611,0.96053,0.42483,0.08415,0.13656,116,4.459
Sri Lanka,Asia,2016,0.97318,0.62007,0.84783,0.50817,0.07964,0.46978,117,4.415
India,Asia,2016,0.74036,0.45091,0.29247,0.40285,0.08722,0.25028,118,4.404
Myanmar,Asia,2016,0.34112,0.3988,0.69981,0.42692,0.20243,0.81971,119,4.395
Egypt,Africa,2016,0.95395,0.52116,0.49813,0.18847,0.10393,0.12706,120,4.362
Armenia,Asia,2016,0.86086,0.64083,0.62477,0.14037,0.03616,0.07793,121,4.36
Kenya,Africa,2016,0.52267,0.30147,0.7624,0.40576,0.06686,0.41328,122,4.356
Ukraine,Europe,2016,0.87287,0.58628,1.01413,0.12859,0.01829,0.20363,123,4.324
Ghana,Africa,2016,0.63107,0.29681,0.49353,0.40973,0.0326,0.21203,124,4.276
Congo (Kinshasa),Africa,2016,0.05661,0.188,0.80676,0.15602,0.06075,0.25458,125,4.272
Georgia,Asia,2016,0.83792,0.64035,0.19249,0.32461,0.3188,0.06786,126,4.252
Congo (Brazzaville),Africa,2016,0.77109,0.28212,0.47799,0.37938,0.09753,0.12077,127,4.236
Senegal,Africa,2016,0.44314,0.40457,0.77416,0.31056,0.11681,0.19103,128,4.219
Bulgaria,Europe,2016,1.11306,0.67806,0.92542,0.21219,0.00615,0.12793,129,4.217
Mauritania,Africa,2016,0.61391,0.28639,0.84142,0.1268,0.17955,0.22686,130,4.201
Zimbabwe,Africa,2016,0.35041,0.1595,0.71478,0.25429,0.08582,0.18503,131,4.193
